Filière,Produit,Production_Tonnes,year
agrumes,Citron,93176.72,2011
agrumes,Orange Autres,25951.9,2011
agrumes,Orange Navel Lane Late,21384.2,2011
agrumes,Orange Navel Late,5659.54,2011
agrumes,Orange Navelina,666.9,2011
agrumes,Orange Salustiana,33260.48,2011
agrumes,Orange Washignton Sanguine,56247.19,2011
agrumes,Pamplemousse,689.45,2011
agrumes,Petit Fruit Autres,49897.91,2011
agrumes,Petit Fruit Fortune,551.0,2011
agrumes,Petit Fruit Nador Cott,30060.0,2011
agrumes,Petit Fruit Nour,121053.6,2011
agrumes,Petit Fruit Nova,13610.93,2011
agrumes,Petit Fruit Nules,79966.35,2011
agrumes,Petit Fruit Ortanique,17236.35,2011
amandiers,Amandier,101381.76,2011
céréales,Autres Céréales,2740.0,2011
céréales,Avoine,36764.98,2011
céréales,Riz,17840.0,2011
céréales,Sorgho,7914.99999999999,2011
fourragères,Avoine Vert,111613.1,2011
fourragères,Lupin,89630.0,2011
fourragères,Pois Fourrager,75800.0,2011
fourragères,Triticale,12174.0,2011
industrielles,Coriandre Récoltée,4493.4,2011
industrielles,Cornichon,2.7,2011
industrielles,Câprier,19490.0,2011
industrielles,Henné,10038.0,2011
industrielles,Piment De Cayenne,14.0,2011
industrielles,Rosier,231.0,2011
industrielles,Safran,4.89999999999999,2011
industrielles,Sorgho A Balais,372.0,2011
légumineuses,Autres Légumineuses,31175.9,2011
légumineuses,Fève,170552.95,2011
légumineuses,Féverole,18500.0,2011
légumineuses,Lentille,45438.7,2011
légumineuses,Orobe,6498.0,2011
légumineuses,Petit Pois,39788.25,2011
légumineuses,Pois Chiche,45734.0,2011
maraîchage,Ail,22376.0,2011
maraîchage,Artichaut,43137.0,2011
maraîchage,Asperge,0.0,2011
maraîchage,Aubergine,34823.5932975139,2011
maraîchage,Betterave Potager,5713.0,2011
maraîchage,Choux Fleur,104569.126491212,2011
maraîchage,Choux Pomme,10341.0,2011
maraîchage,Concombre,51223.7587733358,2011
maraîchage,Fraisier,110716.158910846,2011
maraîchage,Framboise,4133.00799999999,2011
maraîchage,Fève Verte,106147.9,2011
maraîchage,Haricot Vert,120611.773040707,2011
maraîchage,Menthe,55319.0,2011
maraîchage,Myrtille,3008.62899999999,2011
maraîchage,Navet,162184.996476373,2011
maraîchage,Niora,31953.0,2011
maraîchage,Oignon Vert,2864.0,2011
maraîchage,Patate Douce,17582.0,2011
maraîchage,Petit Pois Vert,160136.246052272,2011
maraîchage,Piment Poivron,143128.277570349,2011
oléagineuses,Arachide,39710.0,2011
oléagineuses,Sésame,1137.0,2011
oléagineuses,Tournesol,48131.2,2011
palmiers-dattiers,Palmier Dattier,102961.76,2011
rosacées,Abricotier,159124.0,2011
rosacées,Autres Plantations Fruitières,47693.23,2011
rosacées,Avocatier,33519.0,2011
rosacées,Caroubier,1943.0,2011
rosacées,Cerisier,8210.0,2011
rosacées,Cognassier,31994.25,2011
rosacées,Figuier,114769.674511637,2011
rosacées,Grenadier,83081.0,2011
rosacées,Noyer,9339.1,2011
rosacées,Néflier,4563.0,2011
rosacées,Pacanier,369.0,2011
rosacées,Pistachier,101.6,2011
rosacées,Poirier,36177.0,2011
rosacées,Prunier,64767.6524915969,2011
rosacées,Pêcher Nectarine,74771.0,2011
vignes,Raisin De Cuve,89033.33002,2011
vignes,Raisin De Table,203780.459007238,2011
agrumes,Autres Agrumes,5584.15,2012
agrumes,Citron,27278.12,2012
agrumes,Orange Autres,31602.6,2012
agrumes,Orange Navel Lane Late,24543.5,2012
agrumes,Orange Navel Late,4459.0,2012
agrumes,Orange Navelina,387.0,2012
agrumes,Orange Salustiana,31836.88,2012
agrumes,Orange Washignton Sanguine,57875.2,2012
agrumes,Pamplemousse,846.0,2012
agrumes,Petit Fruit Autres,35469.1,2012
agrumes,Petit Fruit Fortune,1387.0,2012
agrumes,Petit Fruit Nador Cott,59280.0,2012
agrumes,Petit Fruit Nour,99119.6,2012
agrumes,Petit Fruit Nova,16022.52,2012
agrumes,Petit Fruit Nules,100647.82,2012
agrumes,Petit Fruit Ortanique,15875.77,2012
amandiers,Amandier,100197.3,2012
céréales,Autres Céréales,223.2,2012
céréales,Avoine,56057.0,2012
céréales,Mais,79721.4,2012
céréales,Riz,45554.4,2012
céréales,Sorgho,5780.0,2012
fourragères,Lupin,50031.0,2012
fourragères,Pois Fourrager,77989.0,2012
fourragères,Sorgho Fourrager,3900.0,2012
fourragères,Triticale,11764.0,2012
fourragères,Vesce Avoine,180259.5,2012
