date,Produit,Production_tonnes
1961-01-01,Ail frais,2000.0
1962-01-01,Ail frais,2000.0
1963-01-01,Ail frais,3000.0
1964-01-01,Ail frais,2000.0
1965-01-01,Ail frais,1000.0
1966-01-01,Ail frais,1094.0
1967-01-01,Ail frais,1000.0
1968-01-01,Ail frais,1000.0
1969-01-01,Ail frais,1100.0
1970-01-01,Ail frais,1100.0
1971-01-01,Ail frais,1100.0
1972-01-01,Ail frais,1100.0
1973-01-01,Ail frais,1100.0
1974-01-01,Ail frais,1200.0
1975-01-01,Ail frais,1200.0
1976-01-01,Ail frais,1300.0
1977-01-01,Ail frais,1300.0
1978-01-01,Ail frais,1400.0
1979-01-01,Ail frais,1500.0
1980-01-01,Ail frais,1600.0
1981-01-01,Ail frais,1800.0
1982-01-01,Ail frais,2000.0
1983-01-01,Ail frais,3000.0
1984-01-01,Ail frais,4000.0
1985-01-01,Ail frais,5000.0
1986-01-01,Ail frais,6000.0
1987-01-01,Ail frais,7300.0
1988-01-01,Ail frais,8100.0
1989-01-01,Ail frais,6616.0
1990-01-01,Ail frais,11037.0
1991-01-01,Ail frais,13736.0
1992-01-01,Ail frais,10500.0
1993-01-01,Ail frais,9960.0
1994-01-01,Ail frais,19996.0
1995-01-01,Ail frais,12000.0
1996-01-01,Ail frais,8000.0
1997-01-01,Ail frais,9180.0
1998-01-01,Ail frais,6700.0
1999-01-01,Ail frais,9940.0
2000-01-01,Ail frais,16040.0
2001-01-01,Ail frais,10790.0
2002-01-01,Ail frais,8840.0
2003-01-01,Ail frais,15000.0
2004-01-01,Ail frais,21610.0
2005-01-01,Ail frais,21840.0
2006-01-01,Ail frais,20240.0
2007-01-01,Ail frais,14505.0
2008-01-01,Ail frais,12570.0
2009-01-01,Ail frais,12600.0
2010-01-01,Ail frais,10322.0
2011-01-01,Ail frais,22376.0
2012-01-01,Ail frais,5294.0
2013-01-01,Ail frais,6784.0
2014-01-01,Ail frais,7709.0
2015-01-01,Ail frais,7397.0
2016-01-01,Ail frais,12562.0
2017-01-01,Ail frais,13660.0
2018-01-01,Ail frais,13611.0
2019-01-01,Ail frais,10318.5
2020-01-01,Ail frais,11953.3
2021-01-01,Ail frais,11080.0
2022-01-01,Ail frais,21180.2
2023-01-01,Ail frais,21380.5
1961-01-01,Artichauts,28000.0
1962-01-01,Artichauts,20000.0
1963-01-01,Artichauts,23000.0
1964-01-01,Artichauts,36000.0
1965-01-01,Artichauts,25000.0
1966-01-01,Artichauts,15938.0
1967-01-01,Artichauts,20000.0
1968-01-01,Artichauts,25000.0
