date,product,prediction_en_tonnes
2023-01-01,Ail frais,17841.346914582755
2024-01-01,Ail frais,18908.956958771643
2025-01-01,Ail frais,19574.76063801664
2026-01-01,Ail frais,20669.609376468205
2027-01-01,Ail frais,21761.1426753243
2028-01-01,Ail frais,22847.14970577901
2029-01-01,Ail frais,23449.45976634025
2030-01-01,Ail frais,24568.23201029623
2031-01-01,Ail frais,25680.938436066295
2032-01-01,Ail frais,26785.34245278594
2033-01-01,Ail frais,27324.158894662407
2034-01-01,Ail frais,28466.854644127212
2035-01-01,Ail frais,29600.734196807603
2036-01-01,Ail frais,30723.535199794187
2037-01-01,Ail frais,31198.858022987595
2038-01-01,Ail frais,32365.477277955102
2039-01-01,Ail frais,33520.529957547806
2040-01-01,Ail frais,34661.72794680044
2023-01-01,Artichauts,43478.56561438083
2024-01-01,Artichauts,43516.97624656414
2025-01-01,Artichauts,42643.438090928896
2026-01-01,Artichauts,42742.17198789321
2027-01-01,Artichauts,42809.12202849619
2028-01-01,Artichauts,42844.35391327669
2029-01-01,Artichauts,41981.7555616065
2030-01-01,Artichauts,42076.37648288506
2031-01-01,Artichauts,42139.67844261252
2032-01-01,Artichauts,42171.7315799882
2033-01-01,Artichauts,41320.07303228156
2034-01-01,Artichauts,41410.58097788165
2035-01-01,Artichauts,41470.23485672783
2036-01-01,Artichauts,41499.10924670148
2037-01-01,Artichauts,40658.39050296095
2038-01-01,Artichauts,40744.78547287338
2039-01-01,Artichauts,40800.79127084193
2040-01-01,Artichauts,40826.48691341192
2023-01-01,Aubergines,73845.57955642368
2024-01-01,Aubergines,75917.75857745
2025-01-01,Aubergines,89336.49953838992
2026-01-01,Aubergines,91523.63375797377
2027-01-01,Aubergines,93311.42891656669
2028-01-01,Aubergines,94693.36338333499
2029-01-01,Aubergines,110141.75631228603
2030-01-01,Aubergines,111666.30827196252
2031-01-01,Aubergines,112777.27827669623
2032-01-01,Aubergines,113468.968189235
2033-01-01,Aubergines,130947.01308621484
2034-01-01,Aubergines,131808.98278587378
2035-01-01,Aubergines,132243.12763684656
2036-01-01,Aubergines,132244.5729950861
2037-01-01,Aubergines,151752.26986007325
2038-01-01,Aubergines,151951.65729986716
2039-01-01,Aubergines,151708.9769970331
2040-01-01,Aubergines,151020.1778010106
2023-01-01,Avocats,78247.12877283875
2024-01-01,Avocats,89067.34394562001
2025-01-01,Avocats,75781.77359575781
2026-01-01,Avocats,86712.89393074255
2027-01-01,Avocats,98297.22234994199
2028-01-01,Avocats,110516.89514172521
2029-01-01,Avocats,92993.46617827594
2030-01-01,Avocats,105349.79490211446
2031-01-01,Avocats,118347.3159270733
2032-01-01,Avocats,131966.44633779977
2033-01-01,Avocats,110205.15876072102
2034-01-01,Avocats,123986.69587365379
2035-01-01,Avocats,138397.40950416145
2036-01-01,Avocats,153415.99753397322
2037-01-01,Avocats,127416.85134332259
2038-01-01,Avocats,142623.59684501583
2039-01-01,Avocats,158447.5030811741
2040-01-01,Avocats,174865.54872999797
2023-01-01,Carottes et navets,264556.1916633442
2024-01-01,Carottes et navets,289917.87196405214
2025-01-01,Carottes et navets,282065.73001922935
2026-01-01,Carottes et navets,275365.0809500089
2027-01-01,Carottes et navets,285011.7908301798
2028-01-01,Carottes et navets,311909.635030776
2029-01-01,Carottes et navets,303062.8648752991
2030-01-01,Carottes et navets,295489.15998390183
2031-01-01,Carottes et navets,305467.3899971129
2032-01-01,Carottes et navets,333901.3980974277
2033-01-01,Carottes et navets,324059.9997318321
2034-01-01,Carottes et navets,315613.2390178254
2035-01-01,Carottes et navets,325922.9891639724
2036-01-01,Carottes et navets,355893.16116417886
2037-01-01,Carottes et navets,345057.13458780857
2038-01-01,Carottes et navets,335737.3180517934
2039-01-01,Carottes et navets,346378.5883307538
2040-01-01,Carottes et navets,377884.92423059634
2023-01-01,Cerises,15153.91576779282
2024-01-01,Cerises,15241.292447748257
2025-01-01,Cerises,16361.615844469088
2026-01-01,Cerises,16471.331378434108
2027-01-01,Cerises,16558.160291575005
2028-01-01,Cerises,16621.67716454468
2029-01-01,Cerises,17810.59150050221
2030-01-01,Cerises,17898.44882485627
2031-01-01,Cerises,17962.40481535601
2032-01-01,Cerises,18002.061881342543
2033-01-01,Cerises,19259.567156537807
2034-01-01,Cerises,19325.566271272815
2035-01-01,Cerises,19366.649339138505
2036-01-01,Cerises,19382.44659813703
2037-01-01,Cerises,20708.54281256869
2038-01-01,Cerises,20752.68371769523
2039-01-01,Cerises,20770.893862923207
2040-01-01,Cerises,20762.83131493673
2023-01-01,Champignons et truffes,2248.467063552037
2024-01-01,Champignons et truffes,2271.5199362493745
2025-01-01,Champignons et truffes,2275.8362913688834
2026-01-01,Champignons et truffes,2302.2763566357626
2027-01-01,Champignons et truffes,2327.1069595614713
2028-01-01,Champignons et truffes,2350.277937199448
2029-01-01,Champignons et truffes,2354.0644756472816
2030-01-01,Champignons et truffes,2380.7395753194696
2031-01-01,Champignons et truffes,2405.7468555709243
2032-01-01,Champignons et truffes,2429.0359381495055
2033-01-01,Champignons et truffes,2432.292659925604
2034-01-01,Champignons et truffes,2459.2027940033004
2035-01-01,Champignons et truffes,2484.3867515803554
2036-01-01,Champignons et truffes,2507.7939390995934
2037-01-01,Champignons et truffes,2510.5208442040616
2038-01-01,Champignons et truffes,2537.666012687004
2039-01-01,Champignons et truffes,2563.0266475897574
2040-01-01,Champignons et truffes,2586.5519400496364
2023-01-01,Citrons et limes,41826.95777231683
2024-01-01,Citrons et limes,41548.5017696185
2025-01-01,Citrons et limes,43620.7165902334
2026-01-01,Citrons et limes,43402.84187800317
2027-01-01,Citrons et limes,43145.16906434886
2028-01-01,Citrons et limes,42847.707906074495
2029-01-01,Citrons et limes,44974.11829386832
2030-01-01,Citrons et limes,44739.125689181084
2031-01-01,Citrons et limes,44463.38035637822
2032-01-01,Citrons et limes,44146.91404253386
2033-01-01,Citrons et limes,46327.51999750841
2034-01-01,Citrons et limes,46075.409500347436
2035-01-01,Citrons et limes,45781.591648410635
2036-01-01,Citrons et limes,45446.120178986544
2037-01-01,Citrons et limes,47680.921701139196
2038-01-01,Citrons et limes,47411.693311525734
2039-01-01,Citrons et limes,47099.8029404471
2040-01-01,Citrons et limes,46745.326315449725
2023-01-01,Coings,47562.59151811759
2024-01-01,Coings,46294.7494686817
2025-01-01,Coings,44528.822207126366
2026-01-01,Coings,43324.662461636304
2027-01-01,Coings,42081.27458680225
2028-01-01,Coings,40801.38263416452
2029-01-01,Coings,39083.12216823559
2030-01-01,Coings,37859.24090634354
2031-01-01,Coings,36599.95765548743
2032-01-01,Coings,35308.01579964686
2033-01-01,Coings,33637.422129343366
2034-01-01,Coings,32393.819351052996
2035-01-01,Coings,31118.640724172194
2036-01-01,Coings,29814.648965129723
2037-01-01,Coings,28191.72209045318
2038-01-01,Coings,26928.397795760204
2039-01-01,Coings,25637.323792856667
2040-01-01,Coings,24321.282130611715
2023-01-01,"Concombres, cornichons",59868.61940863216
2024-01-01,"Concombres, cornichons",61664.44186133959
2025-01-01,"Concombres, cornichons",62040.96807465888
2026-01-01,"Concombres, cornichons",63923.81021282981
2027-01-01,"Concombres, cornichons",65780.29469828888
2028-01-01,"Concombres, cornichons",67606.85000590998
2029-01-01,"Concombres, cornichons",67878.73037908644
2030-01-01,"Concombres, cornichons",69800.58940293602
2031-01-01,"Concombres, cornichons",71691.96998794716
2032-01-01,"Concombres, cornichons",73549.25815047878
2033-01-01,"Concombres, cornichons",73716.4926835095
2034-01-01,"Concombres, cornichons",75677.36859305107
2035-01-01,"Concombres, cornichons",77603.64527760346
2036-01-01,"Concombres, cornichons",79491.66629505134
2037-01-01,"Concombres, cornichons",79554.25498794121
2038-01-01,"Concombres, cornichons",81554.14778315692
2039-01-01,"Concombres, cornichons",83515.32056725676
2040-01-01,"Concombres, cornichons",85434.07443961808
2023-01-01,Figues,58013.39318441201
2024-01-01,Figues,57478.7397570995
2025-01-01,Figues,57394.04960148748
2026-01-01,Figues,56939.57483644249
2027-01-01,Figues,56446.486041952194
2028-01-01,Figues,55915.72649464169
2029-01-01,Figues,55822.63454275751
2030-01-01,Figues,55369.86595687968
2031-01-01,Figues,54879.57889949185
2032-01-01,Figues,54352.71323218479
2033-01-01,Figues,54251.21948402791
2034-01-01,Figues,53800.15707731537
2035-01-01,Figues,53312.671757032054
2036-01-01,Figues,52789.699969726404
2037-01-01,Figues,52679.80442529769
2038-01-01,Figues,52230.44819775262
2039-01-01,Figues,51745.76461457289
2040-01-01,Figues,51226.68670727038
2023-01-01,Fraises,254841.70516965984
2024-01-01,Fraises,300354.39540565293
2025-01-01,Fraises,194238.99143597088
2026-01-01,Fraises,239871.5287154662
2027-01-01,Fraises,287806.8940236498
2028-01-01,Fraises,337990.62267533253
2029-01-01,Fraises,217837.53684042318
2030-01-01,Fraises,268155.5908051218
2031-01-01,Fraises,320772.08287781174
2032-01-01,Fraises,375626.84994481393
2033-01-01,Fraises,241436.0822444696
2034-01-01,Fraises,296439.65289567783
2035-01-01,Fraises,353737.27173174365
2036-01-01,Fraises,413263.0772147978
2037-01-01,Fraises,265034.6276493175
2038-01-01,Fraises,324723.71498529083
2039-01-01,Fraises,386702.46058531856
2040-01-01,Fraises,450899.30448400794
2023-01-01,Haricots verts,276527.8077315112
2024-01-01,Haricots verts,304092.4257591931
2025-01-01,Haricots verts,261875.7711850864
2026-01-01,Haricots verts,289623.19206938724
2027-01-01,Haricots verts,318544.72706966766
2028-01-01,Haricots verts,348607.8292926936
2029-01-01,Haricots verts,298855.06620224967
2030-01-01,Haricots verts,329127.0572617535
2031-01-01,Haricots verts,360561.64640790387
2032-01-01,Haricots verts,393123.23282610194
2033-01-01,Haricots verts,335834.3612192194
2034-01-01,Haricots verts,368630.9224545483
2035-01-01,Haricots verts,402578.56574603054
2036-01-01,Haricots verts,437638.63635975495
2037-01-01,Haricots verts,372813.6562365737
2038-01-01,Haricots verts,408134.7876468917
2039-01-01,Haricots verts,444595.485083983
2040-01-01,Haricots verts,482154.03989303525
2023-01-01,Miel naturel,7877.912006101256
2024-01-01,Miel naturel,8115.50427394637
2025-01-01,Miel naturel,7478.695979302838
2026-01-01,Miel naturel,7727.101677785723
2027-01-01,Miel naturel,7971.528260329153
2028-01-01,Miel naturel,8211.65846458103
2029-01-01,Miel naturel,7567.042906618838
2030-01-01,Miel naturel,7818.114455045628
2031-01-01,Miel naturel,8065.144514558012
2032-01-01,Miel naturel,8307.812655214542
2033-01-01,Miel naturel,7655.38983393268
2034-01-01,Miel naturel,7909.127232309949
2035-01-01,Miel naturel,8158.7607687857935
2036-01-01,Miel naturel,8403.9668458502
2037-01-01,Miel naturel,7743.736761250308
2038-01-01,Miel naturel,8000.140009569724
2039-01-01,Miel naturel,8252.377023012223
2040-01-01,Miel naturel,8500.121036482466
2023-01-01,Pommes,500000.54256921104
2024-01-01,Pommes,510000.55844159075
2025-01-01,Pommes,520000.558938706
2026-01-01,Pommes,530000.5748208535
2027-01-01,Pommes,540000.5907182193
2028-01-01,Pommes,550000.6065905417
2029-01-01,Pommes,560000.6070878771
2030-01-01,Pommes,570000.6229699173
2031-01-01,Pommes,580000.6388671249
2032-01-01,Pommes,590000.6547397046
2033-01-01,Pommes,600000.6552367926
2034-01-01,Pommes,610000.6711184282
2035-01-01,Pommes,620000.6870159693
2036-01-01,Pommes,630000.7028886782
2037-01-01,Pommes,640000.7033858435
2038-01-01,Pommes,650000.7192677743
2039-01-01,Pommes,660000.7351647142
2040-01-01,Pommes,670000.7510372974
2023-01-01,Tabacs bruts ou non fabriqués,1108.070260664755
2024-01-01,Tabacs bruts ou non fabriqués,1056.6644284131573
2025-01-01,Tabacs bruts ou non fabriqués,1032.6641382644177
2026-01-01,Tabacs bruts ou non fabriqués,982.7280119226417
2027-01-01,Tabacs bruts ou non fabriqués,932.631430169115
2028-01-01,Tabacs bruts ou non fabriqués,882.4745166722545
2029-01-01,Tabacs bruts ou non fabriqués,855.0977151734689
2030-01-01,Tabacs bruts ou non fabriqués,806.1632209398601
2031-01-01,Tabacs bruts ou non fabriqués,757.1925996734453
2032-01-01,Tabacs bruts ou non fabriqués,708.2846049313957
2033-01-01,Tabacs bruts ou non fabriqués,677.5312920825619
2034-01-01,Tabacs bruts ou non fabriqués,629.5984299569926
2035-01-01,Tabacs bruts ou non fabriqués,581.7537691777981
2036-01-01,Tabacs bruts ou non fabriqués,534.0946931904982
2037-01-01,Tabacs bruts ou non fabriqués,499.9648689916028
2038-01-01,Tabacs bruts ou non fabriqués,453.03363897420905
2039-01-01,Tabacs bruts ou non fabriqués,406.3149386821583
2040-01-01,Tabacs bruts ou non fabriqués,359.90478144967074
2023-01-01,Vin,41314.91266418894
2024-01-01,Vin,41701.51265005605
2025-01-01,Vin,43049.727710591316
2026-01-01,Vin,43495.82995332435
2027-01-01,Vin,43904.68246776616
2028-01-01,Vin,44275.21134888799
2029-01-01,Vin,45666.181490742456
2030-01-01,Vin,46099.857232353555
2031-01-01,Vin,46494.45227134227
2032-01-01,Vin,46848.910047721416
2033-01-01,Vin,48282.6352708955
2034-01-01,Vin,48703.884511378055
2035-01-01,Vin,49084.222074919715
2036-01-01,Vin,49422.608746551625
2037-01-01,Vin,50899.08905104505
2038-01-01,Vin,51307.91179040744
2039-01-01,Vin,51673.99187849908
2040-01-01,Vin,51996.307445386825
